"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"34","kandahar_idps","1",20.6,553,"percentage","disability_prop","strata","kandahar_idps"," ",114,"disability_prop/kandahar_idps","9",2,NA,NA,"strata","disability_prop"
"35","kandahar_idps","2",2.2,553,"percentage","disability_prop","strata","kandahar_idps"," ",12,"disability_prop/kandahar_idps","9",3,NA,NA,"strata","disability_prop"
"36","kandahar_idps","3+",0.2,553,"percentage","disability_prop","strata","kandahar_idps"," ",1,"disability_prop/kandahar_idps","9",4,NA,NA,"strata","disability_prop"
"37","kandahar_natural_disaster_affected","0",69.6,493,"percentage","disability_prop","strata","kandahar_natural_disaster_affected"," ",343,"disability_prop/kandahar_natural_disaster_affected","10",1,NA,NA,"strata","disability_prop"
"38","kandahar_natural_disaster_affected","1",25.8,493,"percentage","disability_prop","strata","kandahar_natural_disaster_affected"," ",127,"disability_prop/kandahar_natural_disaster_affected","10",2,NA,NA,"strata","disability_prop"
"39","kandahar_natural_disaster_affected","2",4.5,493,"percentage","disability_prop","strata","kandahar_natural_disaster_affected"," ",22,"disability_prop/kandahar_natural_disaster_affected","10",3,NA,NA,"strata","disability_prop"
"40","kandahar_natural_disaster_affected","3+",0.2,493,"percentage","disability_prop","strata","kandahar_natural_disaster_affected"," ",1,"disability_prop/kandahar_natural_disaster_affected","10",4,NA,NA,"strata","disability_prop"
"41","badakhshan_host","0",84.9,510,"percentage","pregnant_prop","strata","badakhshan_host"," ",433,"pregnant_prop/badakhshan_host","1",1,NA,NA,"strata","pregnant_prop"
"42","badakhshan_host","1",14.5,510,"percentage","pregnant_prop","strata","badakhshan_host"," ",74,"pregnant_prop/badakhshan_host","1",2,NA,NA,"strata","pregnant_prop"
"43","badakhshan_host","2",0.6,510,"percentage","pregnant_prop","strata","badakhshan_host"," ",3,"pregnant_prop/badakhshan_host","1",3,NA,NA,"strata","pregnant_prop"
"44","badakhshan_host","3+",0,510,"percentage","pregnant_prop","strata","badakhshan_host"," ",0,"pregnant_prop/badakhshan_host","1",4,NA,NA,"strata","pregnant_prop"
"45","badakhshan_idps","0",82.2,573,"percentage","pregnant_prop","strata","badakhshan_idps"," ",471,"pregnant_prop/badakhshan_idps","2",1,NA,NA,"strata","pregnant_prop"
"46","badakhshan_idps","1",17.8,573,"percentage","pregnant_prop","strata","badakhshan_idps"," ",102,"pregnant_prop/badakhshan_idps","2",2,NA,NA,"strata","pregnant_prop"
"47","badakhshan_idps","2",0,573,"percentage","pregnant_prop","strata","badakhshan_idps"," ",0,"pregnant_prop/badakhshan_idps","2",3,NA,NA,"strata","pregnant_prop"
"48","badakhshan_idps","3+",0,573,"percentage","pregnant_prop","strata","badakhshan_idps"," ",0,"pregnant_prop/badakhshan_idps","2",4,NA,NA,"strata","pregnant_prop"
"49","herat_host","0",86.1,569,"percentage","pregnant_prop","strata","herat_host"," ",490,"pregnant_prop/herat_host","3",1,NA,NA,"strata","pregnant_prop"
"50","herat_host","1",13.7,569,"percentage","pregnant_prop","strata","herat_host"," ",78,"pregnant_prop/herat_host","3",2,NA,NA,"strata","pregnant_prop"
"51","herat_host","2",0.2,569,"percentage","pregnant_prop","strata","herat_host"," ",1,"pregnant_prop/herat_host","3",3,NA,NA,"strata","pregnant_prop"
"52","herat_host","3+",0,569,"percentage","pregnant_prop","strata","herat_host"," ",0,"pregnant_prop/herat_host","3",4,NA,NA,"strata","pregnant_prop"
"53","herat_idps","0",87.5,615,"percentage","pregnant_prop","strata","herat_idps"," ",538,"pregnant_prop/herat_idps","4",1,NA,NA,"strata","pregnant_prop"
"54","herat_idps","1",12.5,615,"percentage","pregnant_prop","strata","herat_idps"," ",77,"pregnant_prop/herat_idps","4",2,NA,NA,"strata","pregnant_prop"
"55","herat_idps","2",0,615,"percentage","pregnant_prop","strata","herat_idps"," ",0,"pregnant_prop/herat_idps","4",3,NA,NA,"strata","pregnant_prop"
"56","herat_idps","3+",0,615,"percentage","pregnant_prop","strata","herat_idps"," ",0,"pregnant_prop/herat_idps","4",4,NA,NA,"strata","pregnant_prop"
"57","herat_natural_disaster_affected","0",83.5,479,"percentage","pregnant_prop","strata","herat_natural_disaster_affected"," ",400,"pregnant_prop/herat_natural_disaster_affected","5",1,NA,NA,"strata","pregnant_prop"
"58","herat_natural_disaster_affected","1",16.3,479,"percentage","pregnant_prop","strata","herat_natural_disaster_affected"," ",78,"pregnant_prop/herat_natural_disaster_affected","5",2,NA,NA,"strata","pregnant_prop"
"59","herat_natural_disaster_affected","2",0.2,479,"percentage","pregnant_prop","strata","herat_natural_disaster_affected"," ",1,"pregnant_prop/herat_natural_disaster_affected","5",3,NA,NA,"strata","pregnant_prop"
"60","herat_natural_disaster_affected","3+",0,479,"percentage","pregnant_prop","strata","herat_natural_disaster_affected"," ",0,"pregnant_prop/herat_natural_disaster_affected","5",4,NA,NA,"strata","pregnant_prop"
"61","jawzjan_host","0",81.4,515,"percentage","pregnant_prop","strata","jawzjan_host"," ",419,"pregnant_prop/jawzjan_host","6",1,NA,NA,"strata","pregnant_prop"
"62","jawzjan_host","1",18.4,515,"percentage","pregnant_prop","strata","jawzjan_host"," ",95,"pregnant_prop/jawzjan_host","6",2,NA,NA,"strata","pregnant_prop"
"63","jawzjan_host","2",0.2,515,"percentage","pregnant_prop","strata","jawzjan_host"," ",1,"pregnant_prop/jawzjan_host","6",3,NA,NA,"strata","pregnant_prop"
"64","jawzjan_host","3+",0,515,"percentage","pregnant_prop","strata","jawzjan_host"," ",0,"pregnant_prop/jawzjan_host","6",4,NA,NA,"strata","pregnant_prop"
"65","jawzjan_idps","0",82.5,589,"percentage","pregnant_prop","strata","jawzjan_idps"," ",486,"pregnant_prop/jawzjan_idps","7",1,NA,NA,"strata","pregnant_prop"
"66","jawzjan_idps","1",17.5,589,"percentage","pregnant_prop","strata","jawzjan_idps"," ",103,"pregnant_prop/jawzjan_idps","7",2,NA,NA,"strata","pregnant_prop"
"67","jawzjan_idps","2",0,589,"percentage","pregnant_prop","strata","jawzjan_idps"," ",0,"pregnant_prop/jawzjan_idps","7",3,NA,NA,"strata","pregnant_prop"
"68","jawzjan_idps","3+",0,589,"percentage","pregnant_prop","strata","jawzjan_idps"," ",0,"pregnant_prop/jawzjan_idps","7",4,NA,NA,"strata","pregnant_prop"
