strata,population
badakhshan_host,70487
badakhshan_idps,17157
herat_host,581723
herat_idps,279385
herat_natural_disaster_affected,934
jawzjan_host,85611
jawzjan_idps,92407
kandahar_host,179484
kandahar_idps,64388
kandahar_natural_disaster_affected,5108
